Time_epoch,Transmitted_speed (km/hr),Transmitted_latitude (degrees),Transmitted_longitude (degrees),Transmitted_altitude (meters),Transmitted_heading_angle (degrees),Transmitted_timestamp (HH:MM:SS.mmm),Cloud_latitude (degrees),Cloud_longitude (degrees),Distance (meters),Received_packet_timestamp (HH:MM:SS.mmm),Latency_of_packet_transmission (ms),Packet_error_rate,Cloud_total_transferred_data (MBytes),Cloud_average_bandwidth_client (Mbits/sec),Cloud_total_transferred_data_server (MBytes),Cloud_average_bandwidth_server (Mbits/sec),Cloud_download_speed (Mbits/sec),Cloud_upload_speed (Mbits/sec),Cloud_latency (ms),Data_rate (Mbits/sec)
1715959963,44,17.6018847,78.1270792,521.551,183.9392989,31:06.0,17.59994,78.1257,261.0150319,31:06.1,60,0.06863945,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959964,37,17.6018847,78.1270792,521.551,90,31:06.1,17.59994,78.1257,261.0150319,31:06.2,58,0.023093973,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959965,43,17.6018462,78.1270761,521.458,184.6034948,31:06.2,17.59994,78.1257,257.2931606,31:06.3,50,0.086925436,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959966,52,17.6018041,78.1270727,521.335,184.6171919,31:06.3,17.59994,78.1257,253.2433671,31:06.4,51,0.048366386,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959967,57,17.6018041,78.1270727,521.335,90,31:06.4,17.59994,78.1257,253.2433671,31:06.5,55,0.278909296,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959968,54,17.6017601,78.1270694,521.297,184.2891533,31:06.5,17.59994,78.1257,249.0506782,31:06.6,59,0.242436114,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959969,59,17.6017155,78.1270664,521.146,183.8481794,31:06.6,17.59994,78.1257,244.8494597,31:06.7,55,0.190021127,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959970,37,17.6017155,78.1270664,521.146,90,31:06.7,17.59994,78.1257,244.8494597,31:06.8,55,0.261438177,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959971,50,17.60167,78.1270633,521.062,183.897645,31:06.8,17.59994,78.1257,240.5911292,31:06.9,51,0.241101623,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959972,45,17.6016249,78.1270604,520.673,183.6791424,31:06.9,17.59994,78.1257,236.4130111,31:07.0,57,0.055971018,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959973,42,17.6016249,78.1270604,520.673,90,31:07.0,17.59994,78.1257,236.4130111,31:07.1,58,0.2677677,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959974,47,17.6015806,78.1270572,520.452,184.131571,31:07.1,17.59994,78.1257,232.3185708,31:07.2,54,0.161802673,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959975,44,17.6015394,78.1270519,520.098,187.3303153,31:07.2,17.59994,78.1257,228.3859422,31:07.3,58,0.242232047,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959976,50,17.6015394,78.1270519,520.098,90,31:07.3,17.59994,78.1257,228.3859422,31:07.4,60,0.26882739,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959977,53,17.6015014,78.1270436,519.661,192.3210994,31:07.4,17.59994,78.1257,224.5522901,31:07.5,52,0.095401042,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959978,55,17.6014665,78.1270299,519.76,201.4324967,31:07.5,17.59994,78.1257,220.6349973,31:07.6,55,0.033015577,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959979,54,17.6014665,78.1270299,519.76,90,31:07.6,17.59994,78.1257,220.6349973,31:07.7,53,0.068380549,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959980,57,17.6014366,78.1270105,519.981,212.9766939,31:07.7,17.59994,78.1257,216.7642725,31:07.8,58,0.128132337,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959981,57,17.6014116,78.1269839,520.144,226.7760442,31:07.8,17.59994,78.1257,212.8238786,31:07.9,56,0.24540443,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959982,57,17.6014116,78.1269839,520.144,90,31:07.9,17.59994,78.1257,212.8238786,31:08.0,56,0.258219175,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959983,42,17.6013929,78.1269506,520.288,240.6831078,31:08.0,17.59994,78.1257,208.9729766,31:08.1,58,0.002085639,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
